movie,year,imdb,metascore,votes,n_imdb
Ant-Man,2015,7.30,64,566039,73
The Hateful Eight,2015,7.80,68,512378,78
Spotlight,2015,8.10,93,417120,81
Spectre,2015,6.80,60,382941,68
Sicario,2015,7.60,82,368670,76
Room,2015,8.10,86,367591,81
The Big Short,2015,7.80,81,359053,78
Furious 7,2015,7.10,67,357921,71
Mission: Impossible - Rogue Nation,2015,7.40,75,340366,74
Fifty Shades of Grey,2015,4.10,46,296658,41
Bridge of Spies,2015,7.60,81,285973,76
The Hunger Games: Mockingjay - Part 2,2015,6.60,65,284771,66
The Man from U.N.C.L.E.,2015,7.30,56,272650,73
Terminator Genisys,2015,6.30,38,258584,63
Creed,2015,7.60,82,246251,76
Chappie,2015,6.80,41,228922,68
Spy,2015,7.00,75,228904,70
Maze Runner: The Scorch Trials,2015,6.30,43,220512,63
The Intern,2015,7.10,51,219017,71
The Lobster,2015,7.20,82,217263,72
Focus,2015,6.60,56,217093,66
The Divergent Series: Insurgent,2015,6.20,42,216791,62
Southpaw,2015,7.40,57,216699,74
San Andreas,2015,6.10,43,211540,61
Minions,2015,6.40,56,211206,64
The VVitch: A New-England Folktale,2015,6.90,83,198440,69
Everest,2015,7.10,64,196161,71
Ted 2,2015,6.30,48,183824,63
Straight Outta Compton,2015,7.80,72,178446,78
Jupiter Ascending,2015,5.30,40,178388,53
Tomorrowland,2015,6.40,60,171529,64
Black Mass,2015,6.90,68,167316,69
The Danish Girl,2015,7.10,66,162905,71
Cinderella,2015,6.90,67,159719,69
Legend,2015,6.90,55,157517,69
The Age of Adaline,2015,7.20,51,153922,72
Steve Jobs,2015,7.20,82,153454,72
Fantastic Four,2015,4.30,27,151712,43
Mad Max: Fury Road,2015,8.10,90,875767,81
Star Wars: Episode VII - The Force Awakens,2015,7.90,80,856835,79
The Martian,2015,8.00,80,755388,80
Avengers: Age of Ultron,2015,7.30,66,736312,73
The Revenant,2015,8.00,76,700260,80
Inside Out,2015,8.10,94,609224,81
Jurassic World,2015,7.00,59,577021,70
Ant-Man,2015,7.30,64,566039,73
The Hateful Eight,2015,7.80,68,512378,78
Spotlight,2015,8.10,93,417120,81
Spectre,2015,6.80,60,382941,68
Sicario,2015,7.60,82,368670,76
Room,2015,8.10,86,367591,81
The Big Short,2015,7.80,81,359053,78
Furious 7,2015,7.10,67,357921,71
Mission: Impossible - Rogue Nation,2015,7.40,75,340366,74
Fifty Shades of Grey,2015,4.10,46,296658,41
Bridge of Spies,2015,7.60,81,285973,76
The Hunger Games: Mockingjay - Part 2,2015,6.60,65,284771,66
The Man from U.N.C.L.E.,2015,7.30,56,272650,73
Terminator Genisys,2015,6.30,38,258584,63
Creed,2015,7.60,82,246251,76
Chappie,2015,6.80,41,228922,68
Spy,2015,7.00,75,228904,70
Maze Runner: The Scorch Trials,2015,6.30,43,220512,63
The Intern,2015,7.10,51,219017,71
The Lobster,2015,7.20,82,217263,72
Focus,2015,6.60,56,217093,66
The Divergent Series: Insurgent,2015,6.20,42,216791,62
Southpaw,2015,7.40,57,216699,74
San Andreas,2015,6.10,43,211540,61
Minions,2015,6.40,56,211206,64
The VVitch: A New-England Folktale,2015,6.90,83,198440,69
Everest,2015,7.10,64,196161,71
Ted 2,2015,6.30,48,183824,63
Straight Outta Compton,2015,7.80,72,178446,78
Jupiter Ascending,2015,5.30,40,178388,53
Tomorrowland,2015,6.40,60,171529,64
Black Mass,2015,6.90,68,167316,69
The Danish Girl,2015,7.10,66,162905,71
Cinderella,2015,6.90,67,159719,69
Legend,2015,6.90,55,157517,69
The Age of Adaline,2015,7.20,51,153922,72
Steve Jobs,2015,7.20,82,153454,72
Fantastic Four,2015,4.30,27,151712,43
Mad Max: Fury Road,2015,8.10,90,875767,81
Star Wars: Episode VII - The Force Awakens,2015,7.90,80,856835,79
The Martian,2015,8.00,80,755388,80
Avengers: Age of Ultron,2015,7.30,66,736312,73
The Revenant,2015,8.00,76,700260,80
Inside Out,2015,8.10,94,609224,81
Jurassic World,2015,7.00,59,577021,70
Ant-Man,2015,7.30,64,566039,73
The Hateful Eight,2015,7.80,68,512378,78
Spotlight,2015,8.10,93,417120,81
Spectre,2015,6.80,60,382941,68
Sicario,2015,7.60,82,368670,76
Room,2015,8.10,86,367591,81
The Big Short,2015,7.80,81,359053,78
Furious 7,2015,7.10,67,357921,71
Mission: Impossible - Rogue Nation,2015,7.40,75,340366,74
Fifty Shades of Grey,2015,4.10,46,296658,41
Bridge of Spies,2015,7.60,81,285973,76
The Hunger Games: Mockingjay - Part 2,2015,6.60,65,284771,66
The Man from U.N.C.L.E.,2015,7.30,56,272650,73
Terminator Genisys,2015,6.30,38,258584,63
Creed,2015,7.60,82,246251,76
Chappie,2015,6.80,41,228922,68
Spy,2015,7.00,75,228904,70
Maze Runner: The Scorch Trials,2015,6.30,43,220512,63
The Intern,2015,7.10,51,219017,71
The Lobster,2015,7.20,82,217263,72
Focus,2015,6.60,56,217093,66
The Divergent Series: Insurgent,2015,6.20,42,216791,62
Southpaw,2015,7.40,57,216699,74
San Andreas,2015,6.10,43,211540,61
Minions,2015,6.40,56,211206,64
The VVitch: A New-England Folktale,2015,6.90,83,198440,69
Everest,2015,7.10,64,196161,71
Ted 2,2015,6.30,48,183824,63
Straight Outta Compton,2015,7.80,72,178446,78
Jupiter Ascending,2015,5.30,40,178388,53
Tomorrowland,2015,6.40,60,171529,64
Black Mass,2015,6.90,68,167316,69
The Danish Girl,2015,7.10,66,162905,71
Cinderella,2015,6.90,67,159719,69
Legend,2015,6.90,55,157517,69
The Age of Adaline,2015,7.20,51,153922,72
Steve Jobs,2015,7.20,82,153454,72
Fantastic Four,2015,4.30,27,151712,43
Mad Max: Fury Road,2015,8.10,90,875767,81
Star Wars: Episode VII - The Force Awakens,2015,7.90,80,856835,79
The Martian,2015,8.00,80,755388,80
Avengers: Age of Ultron,2015,7.30,66,736312,73
The Revenant,2015,8.00,76,700260,80
Inside Out,2015,8.10,94,609224,81
Jurassic World,2015,7.00,59,577021,70
Ant-Man,2015,7.30,64,566039,73
The Hateful Eight,2015,7.80,68,512378,78
Spotlight,2015,8.10,93,417120,81
Spectre,2015,6.80,60,382941,68
Sicario,2015,7.60,82,368670,76
Room,2015,8.10,86,367591,81
The Big Short,2015,7.80,81,359053,78
Furious 7,2015,7.10,67,357921,71
Mission: Impossible - Rogue Nation,2015,7.40,75,340366,74
Fifty Shades of Grey,2015,4.10,46,296658,41
Bridge of Spies,2015,7.60,81,285973,76
The Hunger Games: Mockingjay - Part 2,2015,6.60,65,284771,66
The Man from U.N.C.L.E.,2015,7.30,56,272650,73
Terminator Genisys,2015,6.30,38,258584,63
Creed,2015,7.60,82,246251,76
Chappie,2015,6.80,41,228922,68
Spy,2015,7.00,75,228904,70
Maze Runner: The Scorch Trials,2015,6.30,43,220512,63
The Intern,2015,7.10,51,219017,71
The Lobster,2015,7.20,82,217263,72
Focus,2015,6.60,56,217093,66
The Divergent Series: Insurgent,2015,6.20,42,216791,62
Southpaw,2015,7.40,57,216699,74
San Andreas,2015,6.10,43,211540,61
Minions,2015,6.40,56,211206,64
The VVitch: A New-England Folktale,2015,6.90,83,198440,69
Everest,2015,7.10,64,196161,71
Ted 2,2015,6.30,48,183824,63
Straight Outta Compton,2015,7.80,72,178446,78
Jupiter Ascending,2015,5.30,40,178388,53
Tomorrowland,2015,6.40,60,171529,64
Black Mass,2015,6.90,68,167316,69
The Danish Girl,2015,7.10,66,162905,71
Cinderella,2015,6.90,67,159719,69
Legend,2015,6.90,55,157517,69
The Age of Adaline,2015,7.20,51,153922,72
Steve Jobs,2015,7.20,82,153454,72
Fantastic Four,2015,4.30,27,151712,43
Deadpool,2016,8.00,65,897988,80
Captain America: Civil War,2016,7.80,75,658799,78
Batman v Superman: Dawn of Justice,2016,6.40,44,622227,64
Suicide Squad,2016,6.00,40,597304,60
Doctor Strange,2016,7.50,72,593425,75
Arrival,2016,7.90,81,589691,79
Rogue One: A Star Wars Story,2016,7.80,65,551943,78
La La Land,2016,8.00,94,501153,80
Hacksaw Ridge,2016,8.10,71,431434,81
Zootopia,2016,8.00,78,430864,80
Split,2016,7.30,62,420023,73
Fantastic Beasts and Where to Find Them,2016,7.30,66,408017,73
X-Men: Apocalypse,2016,6.90,52,391122,69
Passengers,2016,7.00,41,347535,70
10 Cloverfield Lane,2016,7.20,76,288804,72
The Nice Guys,2016,7.40,70,277638,74
Moonlight,2016,7.40,99,271258,74
Moana,2016,7.60,81,269878,76
The Accountant,2016,7.30,51,258784,73
The Jungle Book,2016,7.40,77,258093,74
Now You See Me 2,2016,6.50,46,247397,65
Manchester by the Sea,2016,7.80,96,244901,78
Warcraft,2016,6.80,32,240847,68
Finding Dory,2016,7.30,77,238884,73
Nocturnal Animals,2016,7.50,67,236474,75
Sully,2016,7.40,74,235873,74
Star Trek Beyond,2016,7.10,68,226803,71
The Conjuring 2,2016,7.30,65,224068,73
Don't Breathe,2016,7.10,71,219746,71
Lion,2016,8.00,69,212206,80
Jason Bourne,2016,6.60,58,207426,66
Me Before You,2016,7.40,51,207057,74
Ghostbusters: Answer the Call,2016,6.50,60,203473,65
Hell or High Water,2016,7.60,88,202768,76
Hidden Figures,2016,7.80,74,199003,78
Your Name.,2016,8.40,79,190953,84
Captain Fantastic,2016,7.90,72,187626,79
Assassin's Creed,2016,5.70,36,184897,57
The Magnificent Seven,2016,6.90,54,184214,69
The Secret Life of Pets,2016,6.50,61,182160,65
War Dogs,2016,7.10,57,176246,71
Sausage Party,2016,6.10,66,174963,61
The Promise,2016,6.00,49,172442,60
The Girl on the Train,2016,6.50,48,168247,65
Independence Day: Resurgence,2016,5.20,32,166084,52
Train to Busan,2016,7.60,72,163477,76
Deadpool,2016,8.00,65,897988,80
Captain America: Civil War,2016,7.80,75,658799,78
Batman v Superman: Dawn of Justice,2016,6.40,44,622227,64
Suicide Squad,2016,6.00,40,597304,60
Doctor Strange,2016,7.50,72,593425,75
Arrival,2016,7.90,81,589691,79
Rogue One: A Star Wars Story,2016,7.80,65,551943,78
La La Land,2016,8.00,94,501153,80
Hacksaw Ridge,2016,8.10,71,431434,81
Zootopia,2016,8.00,78,430864,80
Split,2016,7.30,62,420023,73
Fantastic Beasts and Where to Find Them,2016,7.30,66,408017,73
X-Men: Apocalypse,2016,6.90,52,391122,69
Passengers,2016,7.00,41,347535,70
10 Cloverfield Lane,2016,7.20,76,288804,72
The Nice Guys,2016,7.40,70,277638,74
Moonlight,2016,7.40,99,271258,74
Moana,2016,7.60,81,269878,76
The Accountant,2016,7.30,51,258784,73
The Jungle Book,2016,7.40,77,258093,74
Now You See Me 2,2016,6.50,46,247397,65
Manchester by the Sea,2016,7.80,96,244901,78
Warcraft,2016,6.80,32,240847,68
Finding Dory,2016,7.30,77,238884,73
Nocturnal Animals,2016,7.50,67,236474,75
Sully,2016,7.40,74,235873,74
Star Trek Beyond,2016,7.10,68,226803,71
The Conjuring 2,2016,7.30,65,224068,73
Don't Breathe,2016,7.10,71,219746,71
Lion,2016,8.00,69,212206,80
Jason Bourne,2016,6.60,58,207426,66
Me Before You,2016,7.40,51,207057,74
Ghostbusters: Answer the Call,2016,6.50,60,203473,65
Hell or High Water,2016,7.60,88,202768,76
Hidden Figures,2016,7.80,74,199003,78
Your Name.,2016,8.40,79,190953,84
Captain Fantastic,2016,7.90,72,187626,79
Assassin's Creed,2016,5.70,36,184897,57
The Magnificent Seven,2016,6.90,54,184214,69
The Secret Life of Pets,2016,6.50,61,182160,65
War Dogs,2016,7.10,57,176246,71
Sausage Party,2016,6.10,66,174963,61
The Promise,2016,6.00,49,172442,60
The Girl on the Train,2016,6.50,48,168247,65
Independence Day: Resurgence,2016,5.20,32,166084,52
Train to Busan,2016,7.60,72,163477,76
Deadpool,2016,8.00,65,897988,80
Captain America: Civil War,2016,7.80,75,658799,78
Batman v Superman: Dawn of Justice,2016,6.40,44,622227,64
Suicide Squad,2016,6.00,40,597304,60
Doctor Strange,2016,7.50,72,593425,75
Arrival,2016,7.90,81,589691,79
Rogue One: A Star Wars Story,2016,7.80,65,551943,78
La La Land,2016,8.00,94,501153,80
Hacksaw Ridge,2016,8.10,71,431434,81
Zootopia,2016,8.00,78,430864,80
Split,2016,7.30,62,420023,73
Fantastic Beasts and Where to Find Them,2016,7.30,66,408017,73
X-Men: Apocalypse,2016,6.90,52,391122,69
Passengers,2016,7.00,41,347535,70
10 Cloverfield Lane,2016,7.20,76,288804,72
The Nice Guys,2016,7.40,70,277638,74
Moonlight,2016,7.40,99,271258,74
Moana,2016,7.60,81,269878,76
The Accountant,2016,7.30,51,258784,73
The Jungle Book,2016,7.40,77,258093,74
Now You See Me 2,2016,6.50,46,247397,65
Manchester by the Sea,2016,7.80,96,244901,78
Warcraft,2016,6.80,32,240847,68
Finding Dory,2016,7.30,77,238884,73
Nocturnal Animals,2016,7.50,67,236474,75
Sully,2016,7.40,74,235873,74
Star Trek Beyond,2016,7.10,68,226803,71
The Conjuring 2,2016,7.30,65,224068,73
Don't Breathe,2016,7.10,71,219746,71
Lion,2016,8.00,69,212206,80
Jason Bourne,2016,6.60,58,207426,66
Me Before You,2016,7.40,51,207057,74
Ghostbusters: Answer the Call,2016,6.50,60,203473,65
Hell or High Water,2016,7.60,88,202768,76
Hidden Figures,2016,7.80,74,199003,78
Your Name.,2016,8.40,79,190953,84
Captain Fantastic,2016,7.90,72,187626,79
Assassin's Creed,2016,5.70,36,184897,57
The Magnificent Seven,2016,6.90,54,184214,69
The Secret Life of Pets,2016,6.50,61,182160,65
War Dogs,2016,7.10,57,176246,71
Sausage Party,2016,6.10,66,174963,61
The Promise,2016,6.00,49,172442,60
The Girl on the Train,2016,6.50,48,168247,65
Independence Day: Resurgence,2016,5.20,32,166084,52
Train to Busan,2016,7.60,72,163477,76
Deadpool,2016,8.00,65,897988,80
Captain America: Civil War,2016,7.80,75,658799,78
Batman v Superman: Dawn of Justice,2016,6.40,44,622227,64
Suicide Squad,2016,6.00,40,597304,60
Doctor Strange,2016,7.50,72,593425,75
Arrival,2016,7.90,81,589691,79
Rogue One: A Star Wars Story,2016,7.80,65,551943,78
La La Land,2016,8.00,94,501153,80
Hacksaw Ridge,2016,8.10,71,431434,81
Zootopia,2016,8.00,78,430864,80
Split,2016,7.30,62,420023,73
Fantastic Beasts and Where to Find Them,2016,7.30,66,408017,73
X-Men: Apocalypse,2016,6.90,52,391122,69
Passengers,2016,7.00,41,347535,70
10 Cloverfield Lane,2016,7.20,76,288804,72
The Nice Guys,2016,7.40,70,277638,74
Moonlight,2016,7.40,99,271258,74
Moana,2016,7.60,81,269878,76
The Accountant,2016,7.30,51,258784,73
The Jungle Book,2016,7.40,77,258093,74
Now You See Me 2,2016,6.50,46,247397,65
Manchester by the Sea,2016,7.80,96,244901,78
Warcraft,2016,6.80,32,240847,68
Finding Dory,2016,7.30,77,238884,73
Nocturnal Animals,2016,7.50,67,236474,75
Sully,2016,7.40,74,235873,74
Star Trek Beyond,2016,7.10,68,226803,71
The Conjuring 2,2016,7.30,65,224068,73
Don't Breathe,2016,7.10,71,219746,71
Lion,2016,8.00,69,212206,80
Jason Bourne,2016,6.60,58,207426,66
Me Before You,2016,7.40,51,207057,74
Ghostbusters: Answer the Call,2016,6.50,60,203473,65
Hell or High Water,2016,7.60,88,202768,76
Hidden Figures,2016,7.80,74,199003,78
Your Name.,2016,8.40,79,190953,84
Captain Fantastic,2016,7.90,72,187626,79
Assassin's Creed,2016,5.70,36,184897,57
The Magnificent Seven,2016,6.90,54,184214,69
The Secret Life of Pets,2016,6.50,61,182160,65
War Dogs,2016,7.10,57,176246,71
Sausage Party,2016,6.10,66,174963,61
The Promise,2016,6.00,49,172442,60
The Girl on the Train,2016,6.50,48,168247,65
Independence Day: Resurgence,2016,5.20,32,166084,52
Train to Busan,2016,7.60,72,163477,76
Logan,2017,8.10,77,643197,81
Thor: Ragnarok,2017,7.90,74,581826,79
Guardians of the Galaxy Vol. 2,2017,7.60,67,565097,76
Star Wars: Episode VIII - The Last Jedi,2017,7.00,84,560669,70
Wonder Woman,2017,7.40,76,555651,74
Dunkirk,2017,7.90,94,549567,79
Spider-Man: Homecoming,2017,7.40,73,507953,74
Get Out,2017,7.70,85,488127,77
It,2017,7.30,69,456602,73
Blade Runner 2049,2017,8.00,81,456600,80
Baby Driver,2017,7.60,86,435038,76
"Three Billboards Outside Ebbing, Missouri",2017,8.20,88,426857,82
Justice League,2017,6.30,45,381354,63
Coco,2017,8.40,81,375241,84
The Shape of Water,2017,7.30,87,367700,73
John Wick: Chapter 2,2017,7.50,75,363094,75
Jumanji: Welcome to the Jungle,2017,6.90,58,317152,69
Beauty and the Beast,2017,7.10,65,271661,71
Kingsman: The Golden Circle,2017,6.70,44,270960,67
Kong: Skull Island,2017,6.60,62,266627,66
Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.50,39,261460,65
Alien: Covenant,2017,6.40,65,252988,64
Lady Bird,2017,7.40,94,238580,74
The Greatest Showman,2017,7.60,48,235885,76
War for the Planet of the Apes,2017,7.40,82,226573,74
Murder on the Orient Express,2017,6.50,52,211578,65
Call Me by Your Name,2017,7.90,93,209280,79
Life,2017,6.60,54,206293,66
The Fate of the Furious,2017,6.70,56,203548,67
Wind River,2017,7.70,73,202477,77
Ghost in the Shell,2017,6.30,52,195154,63
King Arthur: Legend of the Sword,2017,6.70,41,190814,67
Mother!,2017,6.60,75,189913,66
The Hitman's Bodyguard,2017,6.90,47,185556,69
"I, Tonya",2017,7.50,77,179926,75
Atomic Blonde,2017,6.70,63,174998,67
The Mummy,2017,5.40,34,172044,54
Darkest Hour,2017,7.40,75,170756,74
Bright,2017,6.30,29,167750,63
Valerian and the City of a Thousand Planets,2017,6.50,51,161241,65
Baywatch,2017,5.50,37,159701,55
American Made,2017,7.20,65,157591,72
Logan,2017,8.10,77,643197,81
Thor: Ragnarok,2017,7.90,74,581826,79
Guardians of the Galaxy Vol. 2,2017,7.60,67,565097,76
Star Wars: Episode VIII - The Last Jedi,2017,7.00,84,560669,70
Wonder Woman,2017,7.40,76,555651,74
Dunkirk,2017,7.90,94,549567,79
Spider-Man: Homecoming,2017,7.40,73,507953,74
Get Out,2017,7.70,85,488127,77
It,2017,7.30,69,456602,73
Blade Runner 2049,2017,8.00,81,456600,80
Baby Driver,2017,7.60,86,435038,76
"Three Billboards Outside Ebbing, Missouri",2017,8.20,88,426857,82
Justice League,2017,6.30,45,381354,63
Coco,2017,8.40,81,375241,84
The Shape of Water,2017,7.30,87,367700,73
John Wick: Chapter 2,2017,7.50,75,363094,75
Jumanji: Welcome to the Jungle,2017,6.90,58,317152,69
Beauty and the Beast,2017,7.10,65,271661,71
Kingsman: The Golden Circle,2017,6.70,44,270960,67
Kong: Skull Island,2017,6.60,62,266627,66
Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.50,39,261460,65
Alien: Covenant,2017,6.40,65,252988,64
Lady Bird,2017,7.40,94,238580,74
The Greatest Showman,2017,7.60,48,235885,76
War for the Planet of the Apes,2017,7.40,82,226573,74
Murder on the Orient Express,2017,6.50,52,211578,65
Call Me by Your Name,2017,7.90,93,209280,79
Life,2017,6.60,54,206293,66
The Fate of the Furious,2017,6.70,56,203548,67
Wind River,2017,7.70,73,202477,77
Ghost in the Shell,2017,6.30,52,195154,63
King Arthur: Legend of the Sword,2017,6.70,41,190814,67
Mother!,2017,6.60,75,189913,66
The Hitman's Bodyguard,2017,6.90,47,185556,69
"I, Tonya",2017,7.50,77,179926,75
Atomic Blonde,2017,6.70,63,174998,67
The Mummy,2017,5.40,34,172044,54
Darkest Hour,2017,7.40,75,170756,74
Bright,2017,6.30,29,167750,63
Valerian and the City of a Thousand Planets,2017,6.50,51,161241,65
Baywatch,2017,5.50,37,159701,55
American Made,2017,7.20,65,157591,72
Logan,2017,8.10,77,643197,81
Thor: Ragnarok,2017,7.90,74,581826,79
Guardians of the Galaxy Vol. 2,2017,7.60,67,565097,76
Star Wars: Episode VIII - The Last Jedi,2017,7.00,84,560669,70
Wonder Woman,2017,7.40,76,555651,74
Dunkirk,2017,7.90,94,549567,79
Spider-Man: Homecoming,2017,7.40,73,507953,74
Get Out,2017,7.70,85,488127,77
It,2017,7.30,69,456602,73
Blade Runner 2049,2017,8.00,81,456600,80
Baby Driver,2017,7.60,86,435038,76
"Three Billboards Outside Ebbing, Missouri",2017,8.20,88,426857,82
Justice League,2017,6.30,45,381354,63
Coco,2017,8.40,81,375241,84
The Shape of Water,2017,7.30,87,367700,73
John Wick: Chapter 2,2017,7.50,75,363094,75
Jumanji: Welcome to the Jungle,2017,6.90,58,317152,69
Beauty and the Beast,2017,7.10,65,271661,71
Kingsman: The Golden Circle,2017,6.70,44,270960,67
Kong: Skull Island,2017,6.60,62,266627,66
Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.50,39,261460,65
Alien: Covenant,2017,6.40,65,252988,64
Lady Bird,2017,7.40,94,238580,74
The Greatest Showman,2017,7.60,48,235885,76
War for the Planet of the Apes,2017,7.40,82,226573,74
Murder on the Orient Express,2017,6.50,52,211578,65
Call Me by Your Name,2017,7.90,93,209280,79
Life,2017,6.60,54,206293,66
The Fate of the Furious,2017,6.70,56,203548,67
Wind River,2017,7.70,73,202477,77
Ghost in the Shell,2017,6.30,52,195154,63
King Arthur: Legend of the Sword,2017,6.70,41,190814,67
Mother!,2017,6.60,75,189913,66
The Hitman's Bodyguard,2017,6.90,47,185556,69
"I, Tonya",2017,7.50,77,179926,75
Atomic Blonde,2017,6.70,63,174998,67
The Mummy,2017,5.40,34,172044,54
Darkest Hour,2017,7.40,75,170756,74
Bright,2017,6.30,29,167750,63
Valerian and the City of a Thousand Planets,2017,6.50,51,161241,65
Baywatch,2017,5.50,37,159701,55
American Made,2017,7.20,65,157591,72
Logan,2017,8.10,77,643197,81
Thor: Ragnarok,2017,7.90,74,581826,79
Guardians of the Galaxy Vol. 2,2017,7.60,67,565097,76
Star Wars: Episode VIII - The Last Jedi,2017,7.00,84,560669,70
Wonder Woman,2017,7.40,76,555651,74
Dunkirk,2017,7.90,94,549567,79
Spider-Man: Homecoming,2017,7.40,73,507953,74
Get Out,2017,7.70,85,488127,77
It,2017,7.30,69,456602,73
Blade Runner 2049,2017,8.00,81,456600,80
Baby Driver,2017,7.60,86,435038,76
"Three Billboards Outside Ebbing, Missouri",2017,8.20,88,426857,82
Justice League,2017,6.30,45,381354,63
Coco,2017,8.40,81,375241,84
The Shape of Water,2017,7.30,87,367700,73
John Wick: Chapter 2,2017,7.50,75,363094,75
Jumanji: Welcome to the Jungle,2017,6.90,58,317152,69
Beauty and the Beast,2017,7.10,65,271661,71
Kingsman: The Golden Circle,2017,6.70,44,270960,67
Kong: Skull Island,2017,6.60,62,266627,66
Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.50,39,261460,65
Alien: Covenant,2017,6.40,65,252988,64
Lady Bird,2017,7.40,94,238580,74
The Greatest Showman,2017,7.60,48,235885,76
War for the Planet of the Apes,2017,7.40,82,226573,74
Murder on the Orient Express,2017,6.50,52,211578,65
Call Me by Your Name,2017,7.90,93,209280,79
Life,2017,6.60,54,206293,66
The Fate of the Furious,2017,6.70,56,203548,67
Wind River,2017,7.70,73,202477,77
Ghost in the Shell,2017,6.30,52,195154,63
King Arthur: Legend of the Sword,2017,6.70,41,190814,67
Mother!,2017,6.60,75,189913,66
The Hitman's Bodyguard,2017,6.90,47,185556,69
"I, Tonya",2017,7.50,77,179926,75
Atomic Blonde,2017,6.70,63,174998,67
The Mummy,2017,5.40,34,172044,54
Darkest Hour,2017,7.40,75,170756,74
Bright,2017,6.30,29,167750,63
Valerian and the City of a Thousand Planets,2017,6.50,51,161241,65
Baywatch,2017,5.50,37,159701,55
American Made,2017,7.20,65,157591,72
